.feature,albut,gene_id,gene_name,entrezid,gene_biotype,gene_seq_start,gene_seq_end,seq_name,seq_strand,seq_coord_system,symbol,GRangesList,.abundant,logFC,logCPM,F,PValue,FDR
ENSG00000003137,untrt,ENSG00000003137,CYP26B1,NA,protein_coding,72356367,72375167,2,-1,NA,CYP26B1,,TRUE,-1.0016254136489342,2.306483625080187,17.247758739803835,0.003025052574638009,0.015372363530212166
ENSG00000003249,untrt,ENSG00000003249,DBNDD1,NA,protein_coding,90071273,90086536,16,-1,NA,DBNDD1,,TRUE,-0.2955488315613858,2.4637734607647053,5.692851152356462,0.04338798087550663,0.10678364756966754
ENSG00000003393,untrt,ENSG00000003393,ALS2,NA,protein_coding,202565277,202645912,2,-1,NA,ALS2,,TRUE,0.16303057800808313,5.3207401463384105,6.199717760582455,0.03682651143047703,0.09450515969090835
ENSG00000003400,untrt,ENSG00000003400,CASP10,NA,protein_coding,202047604,202094129,2,1,NA,CASP10,,TRUE,-0.4098931575695606,1.9139059444183382,8.669127523614709,0.018081533181122,0.05587242868501144
ENSG00000003402,untrt,ENSG00000003402,CFLAR,NA,protein_coding,201980827,202041410,2,1,NA,CFLAR,,TRUE,1.1810826483064052,6.895856732794986,127.16755898467095,2.807284666661348e-6,1.4375824952169976e-4
ENSG00000003436,untrt,ENSG00000003436,TFPI,NA,protein_coding,188328957,188430487,2,-1,NA,TFPI,,TRUE,-0.2061803081944092,7.709900944151964,2.1189145926665787,0.18266197656851033,0.30858965087833834
ENSG00000003509,untrt,ENSG00000003509,NDUFAF7,NA,protein_coding,37458774,37480546,2,1,NA,NDUFAF7,,TRUE,-0.06064127417047322,3.7780767128038515,0.4598961466872095,0.5163400154828217,0.6470908944428249
ENSG00000003756,untrt,ENSG00000003756,RBM5,NA,protein_coding,50126341,50156454,3,1,NA,RBM5,,TRUE,-0.19763428277538472,6.633274022441247,6.84766384527397,0.03015863328781815,0.08150456367585132
ENSG00000003987,untrt,ENSG00000003987,MTMR7,NA,protein_coding,17155539,17271037,8,-1,NA,MTMR7,,TRUE,0.9943705429224189,0.3406430019796445,27.265939854466033,7.39968006325947e-4,0.0055984467785021525
ENSG00000003989,untrt,ENSG00000003989,SLC7A2,NA,protein_coding,17354597,17428082,8,1,NA,SLC7A2,,TRUE,0.6457819078477061,0.9758332255832489,7.124428111015187,0.0278225978678177,0.07700357949376957
ENSG00000004059,untrt,ENSG00000004059,ARF5,NA,protein_coding,127228399,127231759,7,1,NA,ARF5,,TRUE,0.3576320116526815,5.843704488960427,31.76825961814054,4.466854496039748e-4,0.003870011267844044
ENSG00000004139,untrt,ENSG00000004139,SARM1,NA,protein_coding,26691378,26728065,17,1,NA,SARM1,,TRUE,-0.17991135421002274,2.0237578374172007,1.6980032118120427,0.2279312761410413,0.36138111448879107
ENSG00000004142,untrt,ENSG00000004142,POLDIP2,NA,protein_coding,26673659,26684545,17,-1,NA,POLDIP2,,TRUE,0.13438768203375162,6.097082320279302,4.394368749399509,0.06847953403351209,0.15026247713112614
ENSG00000004399,untrt,ENSG00000004399,PLXND1,NA,protein_coding,129274018,129325661,3,-1,NA,PLXND1,,TRUE,-0.047806322350709134,7.412238170506466,0.24586679995347735,0.6330096660886566,0.7447227555682903
ENSG00000004455,untrt,ENSG00000004455,AK2,NA,protein_coding,33473585,33546597,1,-1,NA,AK2,,TRUE,0.021812689187321953,5.8454328591497875,0.05170139105808544,0.8256928542281419,0.8849009908345706
ENSG00000004478,untrt,ENSG00000004478,FKBP4,NA,protein_coding,2904119,2914576,12,1,NA,FKBP4,,TRUE,-0.08238965168861852,4.456852270539049,1.2171672718781676,0.3012238103553385,0.44226886731069615
ENSG00000004487,untrt,ENSG00000004487,KDM1A,NA,protein_coding,23345941,23410182,1,1,NA,KDM1A,,TRUE,-0.3081966251997136,5.8604602214852815,24.12620469170815,0.0010928595845769303,0.00740318236664066
ENSG00000004534,untrt,ENSG00000004534,RBM6,NA,protein_coding,49977440,50137478,3,1,NA,RBM6,,TRUE,-0.19690575352158632,5.9137996087188744,8.662359211327841,0.01811286114062538,0.05593667374938915
ENSG00000004660,untrt,ENSG00000004660,CAMKK1,NA,protein_coding,3763609,3798185,17,-1,NA,CAMKK1,,TRUE,-0.6188267862250996,1.8980650454541736,9.626005585582217,0.014165787327687071,0.04688267034008877
ENSG00000004700,untrt,ENSG00000004700,RECQL,NA,protein_coding,21621845,21654603,12,-1,NA,RECQL,,TRUE,0.3595586972350403,5.5999864571298446,22.732803614870658,0.0013171000520411423,0.008471783291117621
ENSG00000004766,untrt,ENSG00000004766,CCDC132,NA,protein_coding,92861653,92988338,7,1,NA,VPS50,,TRUE,-0.039177779862511905,4.492646313547249,0.28361583723596623,0.6084588552390204,0.7255924847719513
ENSG00000004776,untrt,ENSG00000004776,HSPB6,NA,protein_coding,36245469,36248980,19,-1,NA,HSPB6,,TRUE,-0.08265977003002638,7.022012528009553,1.3551855409910156,0.27710751968669756,0.41626243713736516
ENSG00000004777,untrt,ENSG00000004777,ARHGAP33,NA,protein_coding,36265434,36279724,19,1,NA,ARHGAP33,,TRUE,-0.4087669175508812,2.2043258972675304,8.630628095731842,0.01826565486526753,0.05622319663398738
ENSG00000004779,untrt,ENSG00000004779,NDUFAB1,NA,protein_coding,23592323,23607677,16,-1,NA,NDUFAB1,,TRUE,0.0956013304153124,4.106560609066441,1.2280389629062543,0.299215983609201,0.44005113629699283
ENSG00000004799,untrt,ENSG00000004799,PDK4,NA,protein_coding,95212811,95225803,7,-1,NA,PDK4,,TRUE,2.55613263066942,5.405876873265653,34.81865185436971,3.2804872535648283e-4,0.0031303199520834905
ENSG00000004838,untrt,ENSG00000004838,ZMYND10,NA,protein_coding,50378541,50384283,3,-1,NA,ZMYND10,,TRUE,-0.38125254446630014,-0.5249770552866858,1.2609907428334568,0.293302796774692,0.43387890966317527
ENSG00000004846,untrt,ENSG00000004846,ABCB5,NA,protein_coding,20654830,20816658,7,1,NA,ABCB5,,TRUE,-1.7197243351257916,-0.07330582445799988,23.203703494205232,0.0012603643215633815,0.00817952819283554
ENSG00000004864,untrt,ENSG00000004864,SLC25A13,NA,protein_coding,95749532,95951459,7,-1,NA,SLC25A13,,TRUE,-0.00993293934894514,2.846438879572596,0.008117998793230025,0.9303687655473193,0.9564325432550095
ENSG00000004866,untrt,ENSG00000004866,ST7,NA,protein_coding,116593292,116870157,7,1,NA,ST7,,TRUE,-0.5699889191200009,4.2833113906321305,32.630136775792224,4.0839725803466613e-4,0.0036234733880000517
ENSG00000004897,untrt,ENSG00000004897,CDC27,NA,protein_coding,45195069,45266788,17,-1,NA,CDC27,,TRUE,0.04531960923126245,6.152690831868668,0.48197928687804886,0.5067066423859897,0.6389261088437609
ENSG00000004961,untrt,ENSG00000004961,HCCS,NA,protein_coding,11129421,11141198,X,1,NA,HCCS,,TRUE,-0.15695919631537075,4.365230716893217,2.582937254850516,0.1457480829667298,0.2612180924294552
ENSG00000004975,untrt,ENSG00000004975,DVL2,NA,protein_coding,7128660,7137864,17,-1,NA,DVL2,,TRUE,-0.32870277110982754,5.541263168792941,22.443263951966358,0.0013706867468345361,0.008707442014394424
ENSG00000005007,untrt,ENSG00000005007,UPF1,NA,protein_coding,18942747,18979045,19,1,NA,UPF1,,TRUE,0.23014160657459135,6.727374755762798,12.514981646463047,0.0073424734004905534,0.029299982805365207
ENSG00000005020,untrt,ENSG00000005020,SKAP2,NA,protein_coding,26706681,27034858,7,-1,NA,SKAP2,,TRUE,0.20862044955295048,5.144419082543292,6.956152998951977,0.029195800198058758,0.07967311753843108
ENSG00000005022,untrt,ENSG00000005022,SLC25A5,NA,protein_coding,118602363,118605282,X,1,NA,SLC25A5,,TRUE,-0.041480185511121564,5.713398032013544,0.36754001257831526,0.5607443325031736,0.6859466991992537
ENSG00000005059,untrt,ENSG00000005059,CCDC109B,NA,protein_coding,110481361,110609874,4,1,NA,MCUB,,TRUE,0.07844629632982238,3.3086237609337914,0.571362194900607,0.4708622217446794,0.6086348629189403
ENSG00000005075,untrt,ENSG00000005075,POLR2J,NA,protein_coding,102113565,102119354,7,-1,NA,POLR2J,,TRUE,0.047960072529854125,5.263276746563622,0.36954570512492846,0.5596998427261445,0.6848324904161476
ENSG00000005100,untrt,ENSG00000005100,DHX33,NA,protein_coding,5344232,5372380,17,-1,NA,DHX33,,TRUE,0.3515296582263673,4.508549335498446,12.642652401868652,0.007149168213643643,0.028781004289810078
ENSG00000005108,untrt,ENSG00000005108,THSD7A,NA,protein_coding,11409984,11871824,7,-1,NA,THSD7A,,TRUE,0.5370976614049919,-0.7817412943927705,2.906531349171555,0.1258235388773804,0.23475464856620903
ENSG00000005156,untrt,ENSG00000005156,LIG3,NA,protein_coding,33307513,33332083,17,1,NA,LIG3,,TRUE,-0.3881982362725659,3.3017670035422193,10.393581652987164,0.011767093016034756,0.041169315328068876
ENSG00000005175,untrt,ENSG00000005175,RPAP3,NA,protein_coding,48057070,48099844,12,-1,NA,RPAP3,,TRUE,-0.2342064738131851,3.8860447640920683,6.486656651346382,0.03366538860674478,0.088401480453589
ENSG00000005189,untrt,ENSG00000005189,AC004381.6,NA,protein_coding,20817751,20860987,16,1,NA,REXO5,,TRUE,-0.3775677358668157,1.8326120597366802,3.685508546970451,0.09024046812288329,0.18465497819928553
ENSG00000005194,untrt,ENSG00000005194,CIAPIN1,NA,protein_coding,57462081,57481440,16,-1,NA,CIAPIN1,,TRUE,0.15744258916121423,4.4190524671730635,5.019303219618698,0.05458711283629051,0.1271333972919077
ENSG00000005206,untrt,ENSG00000005206,SPPL2B,NA,processed_transcript,2328614,2355099,19,1,NA,SPPL2B,,TRUE,0.05567910081575195,4.953273500151319,0.5459942506366796,0.48056233871083665,0.6172623442462122
ENSG00000005238,untrt,ENSG00000005238,FAM214B,NA,protein_coding,35104109,35116338,9,-1,NA,ATOSB,,TRUE,-0.19203702325755634,5.047784099846046,6.036895785911518,0.03878793624635622,0.0982084155169202
ENSG00000005243,untrt,ENSG00000005243,COPZ2,NA,protein_coding,46103533,46115392,17,-1,NA,COPZ2,,TRUE,-0.10654991162005321,5.574960877258887,2.706451571590571,0.13762141648273352,0.2510605588664392
ENSG00000005249,untrt,ENSG00000005249,PRKAR2B,NA,protein_coding,106685094,106802256,7,1,NA,PRKAR2B,,TRUE,0.5985354286052711,3.79686354438778,15.902374497834984,0.0038178770819913234,0.01817199952414639
ENSG00000005302,untrt,ENSG00000005302,MSL3,NA,protein_coding,11776278,11793870,X,1,NA,MSL3,,TRUE,0.13755964806935347,4.440166795664856,2.426334288068187,0.15699087651799506,0.27562966590514715
ENSG00000005339,untrt,ENSG00000005339,CREBBP,NA,protein_coding,3775055,3930727,16,-1,NA,CREBBP,,TRUE,-0.1107940367826912,6.905514278769767,1.7666594934959547,0.21956912828910558,0.35225727179735017
ENSG00000005379,untrt,ENSG00000005379,BZRAP1,NA,protein_coding,56378592,56406152,17,-1,NA,TSPOAP1,,TRUE,0.23650808699083475,2.8617344110752243,3.082052551694889,0.11629746234096651,0.22162897992607786
ENSG00000005436,untrt,ENSG00000005436,GCFC2,NA,protein_coding,75879126,75938115,2,-1,NA,GCFC2,,TRUE,0.1391949067787035,3.6018345359210486,2.9109312687027873,0.1254316698718669,0.23429800309398924
ENSG00000005448,untrt,ENSG00000005448,WDR54,NA,protein_coding,74648805,74652882,2,1,NA,WDR54,,TRUE,0.2994937592812748,3.4598776409686,5.239601865986962,0.0505578707061496,0.12010162278774007
ENSG00000005469,untrt,ENSG00000005469,CROT,NA,protein_coding,86974997,87029111,7,1,NA,CROT,,TRUE,-0.2533657615851503,4.314327980882281,6.740570991200196,0.03114875664972835,0.08345812557260662
ENSG00000005471,untrt,ENSG00000005471,ABCB4,NA,protein_coding,87031013,87109751,7,-1,NA,ABCB4,,TRUE,-1.1599348356919317,0.7262304733586701,28.46995978810808,6.427373217044978e-4,0.005057428154874423
ENSG00000005483,untrt,ENSG00000005483,KMT2E,NA,protein_coding,104654626,104754808,7,1,NA,KMT2E,,TRUE,0.07662072830979488,6.3140229597671,1.25273722437671,0.2947263717370884,0.4354589661642888
ENSG00000005486,untrt,ENSG00000005486,RHBDD2,NA,protein_coding,75471920,75518244,7,1,NA,RHBDD2,,TRUE,-0.12104834618830283,5.320498169444423,3.180803209542861,0.11141851681543458,0.2152937756372981
ENSG00000005700,untrt,ENSG00000005700,IBTK,NA,protein_coding,82879700,82957471,6,-1,NA,IBTK,,TRUE,-0.06463542736037299,5.7638153564127625,0.8067444849173141,0.39467919326009326,0.5356792936645854
ENSG00000005801,untrt,ENSG00000005801,ZNF195,NA,protein_coding,3360491,3400448,11,-1,NA,ZNF195,,TRUE,-0.3141518592699403,3.3197946820245643,9.422304099148635,0.01490144933208017,0.04859953768358406
ENSG00000005810,untrt,ENSG00000005810,MYCBP2,NA,protein_coding,77618792,77901185,13,-1,NA,MYCBP2,,TRUE,-0.030957792340321876,6.825815624942781,0.17821822135495333,0.6837548746296367,0.7844316476985733
ENSG00000005812,untrt,ENSG00000005812,FBXL3,NA,protein_coding,77566740,77601330,13,-1,NA,FBXL3,,TRUE,0.4598665596737718,6.042433762366374,27.040598708199013,7.588716911435516e-4,0.005666099649860386
ENSG00000005882,untrt,ENSG00000005882,PDK2,NA,protein_coding,48172101,48189516,17,1,NA,PDK2,,TRUE,-0.07644227774583215,4.9144356325646035,0.8082477660321788,0.3942589095921748,0.5352913379509784
ENSG00000005884,untrt,ENSG00000005884,ITGA3,NA,protein_coding,48133332,48167845,17,1,NA,ITGA3,,TRUE,0.34116969750717535,5.911793068767998,10.509832856729282,0.011449501792508282,0.04037749458536025
ENSG00000005889,untrt,ENSG00000005889,ZFX,NA,protein_coding,24167290,24234372,X,1,NA,ZFX,,TRUE,0.07285143419497336,5.206579897455413,1.2486086682268671,0.2954700077441457,0.43615305805294885
ENSG00000005893,untrt,ENSG00000005893,LAMP2,NA,protein_coding,119561682,119603220,X,-1,NA,LAMP2,,TRUE,0.058040892128751694,7.919461830892821,0.7951738296251539,0.3979382161721571,0.5385882626933975
ENSG00000005955,untrt,ENSG00000005955,GGNBP2,NA,protein_coding,34900737,34946278,17,1,NA,NA,,TRUE,0.09896324228579781,6.064320512535385,1.5897830466438758,0.2420305380511094,0.3776036783896913
ENSG00000006007,untrt,ENSG00000006007,GDE1,NA,protein_coding,19513015,19533467,16,-1,NA,GDE1,,TRUE,0.16016261638547513,6.690039968520668,5.733949207889732,0.042802737992010176,0.10566988145415503
ENSG00000006015,untrt,ENSG00000006015,C19orf60,NA,protein_coding,18699495,18703146,19,1,NA,REX1BD,,TRUE,-0.05008728187981657,4.128050226504624,0.2525517391884012,0.6284939649107233,0.7418762885538229
ENSG00000006016,untrt,ENSG00000006016,CRLF1,NA,protein_coding,18683030,18718551,19,-1,NA,CRLF1,,TRUE,0.26449795042227847,2.7784761788957955,2.2657911997394584,0.16974763619192956,0.29226486164651605
ENSG00000006025,untrt,ENSG00000006025,OSBPL7,NA,protein_coding,45884738,45899200,17,-1,NA,OSBPL7,,TRUE,-0.9534834861731304,2.9271708580688798,62.73921181695272,4.07237579855886e-5,7.230396540451327e-4
ENSG00000006042,untrt,ENSG00000006042,TMEM98,NA,protein_coding,31254928,31272124,17,1,NA,TMEM98,,TRUE,-0.040887306959586395,7.17641725248998,0.40374080214430036,0.5424763895374045,0.6707149273948222
ENSG00000006062,untrt,ENSG00000006062,MAP3K14,NA,processed_transcript,43340488,43394414,17,-1,NA,MAP3K14,,TRUE,-0.6937662233289775,3.226001736044679,19.622089687762887,0.0020665443559495836,0.011699888166673682
ENSG00000006114,untrt,ENSG00000006114,SYNRG,NA,protein_coding,35874900,35969544,17,-1,NA,NA,,TRUE,-0.5218128713499331,5.548573632182225,58.86952344890939,5.14075090850669e-5,8.509909438369484e-4
ENSG00000006118,untrt,ENSG00000006118,TMEM132A,NA,protein_coding,60691935,60704631,11,1,NA,TMEM132A,,TRUE,-0.5113771825243688,4.357153631348041,41.88349578931573,1.735888671779987e-4,0.0020018655312648856
ENSG00000006125,untrt,ENSG00000006125,AP2B1,NA,protein_coding,33905065,34053436,17,1,NA,AP2B1,,TRUE,0.032714027786071485,8.302402509588308,0.12809486568105238,0.7294493155631594,0.8185000585581399
ENSG00000006194,untrt,ENSG00000006194,ZNF263,NA,protein_coding,3313743,3351401,16,1,NA,ZNF263,,TRUE,0.09219095842008576,4.695963421109897,1.0734927503716483,0.3297288821806364,0.4710074605443372
ENSG00000006282,untrt,ENSG00000006282,SPATA20,NA,protein_coding,48620419,48633213,17,1,NA,SPATA20,,TRUE,-0.11789644151066528,6.0061113714725956,3.315298668432847,0.10519411616102041,0.20634579307555254
ENSG00000006283,untrt,ENSG00000006283,CACNA1G,NA,protein_coding,48638429,48704835,17,1,NA,CACNA1G,,TRUE,-1.4075230433886523,1.6480027293747264,68.77191414804578,2.9231093234641638e-5,5.863299523414528e-4
ENSG00000006327,untrt,ENSG00000006327,TNFRSF12A,NA,protein_coding,3068446,3072384,16,1,NA,TNFRSF12A,,TRUE,-0.24586255547865088,4.72469859752832,1.4161432452668812,0.26733373872374466,0.40652872675672175
ENSG00000006451,untrt,ENSG00000006451,RALA,NA,protein_coding,39663082,39747723,7,1,NA,RALA,,TRUE,-0.5671354788124325,5.6854363758210935,37.45062588224858,2.5577677514711234e-4,0.002643413965602149
ENSG00000006453,untrt,ENSG00000006453,BAIAP2L1,NA,protein_coding,97920963,98030380,7,-1,NA,BAIAP2L1,,TRUE,-0.2149321084963056,2.8518166706255954,4.502592279316326,0.06577543100686686,0.14603924637046725
ENSG00000006459,untrt,ENSG00000006459,KDM7A,NA,protein_coding,139784546,139876835,7,-1,NA,KDM7A,,TRUE,-0.020693555977532307,4.211880907994463,0.01599606404597469,0.9024003313379401,0.9374838667245945
ENSG00000006468,untrt,ENSG00000006468,ETV1,NA,protein_coding,13930853,14031050,7,-1,NA,ETV1,,TRUE,-0.2645005039225289,3.2340792027476826,2.3037799182646546,0.1666073547543241,0.28806739027438555
ENSG00000006530,untrt,ENSG00000006530,AGK,NA,protein_coding,141250989,141355044,7,1,NA,AGK,,TRUE,-0.00485308705699227,3.866684684275381,0.003859658021319948,0.9519493195793454,0.9707847130448009
ENSG00000006534,untrt,ENSG00000006534,ALDH3B1,NA,protein_coding,67776048,67796744,11,1,NA,ALDH3B1,,TRUE,0.43988205223622284,5.744875777506335,22.01770647151861,0.0014544741535628062,0.009065100608083815
ENSG00000006576,untrt,ENSG00000006576,PHTF2,NA,protein_coding,77428122,77586818,7,1,NA,PHTF2,,TRUE,-0.43864527705886286,5.6504866040974715,39.81782659752188,2.0700645193357658e-4,0.002264286379585995
ENSG00000006607,untrt,ENSG00000006607,FARP2,NA,protein_coding,242295658,242434256,2,1,NA,FARP2,,TRUE,0.5891206454848268,5.360729182263431,44.40087866117878,1.41439488973445e-4,0.0017314106851584051
ENSG00000006625,untrt,ENSG00000006625,GGCT,NA,protein_coding,30536237,30591095,7,-1,NA,GGCT,,TRUE,-0.16751694342666204,3.2107791249756956,2.527854784272782,0.1495774451440616,0.26613455383357443
ENSG00000006634,untrt,ENSG00000006634,DBF4,NA,protein_coding,87505531,87538856,7,1,NA,DBF4,,TRUE,-0.3678976636018908,2.03716470608016,10.008149215104668,0.012901890136613879,0.043918425149780026
ENSG00000006638,untrt,ENSG00000006638,TBXA2R,NA,protein_coding,3594504,3606838,19,-1,NA,TBXA2R,,TRUE,-0.6529054872104318,1.6599363220279568,21.42229340297776,0.0015829868244387822,0.009641977263911276
ENSG00000006652,untrt,ENSG00000006652,IFRD1,NA,protein_coding,112063023,112121072,7,1,NA,IFRD1,,TRUE,-0.052085086215257,5.657074872663877,0.5992440317079636,0.46058997612256625,0.5986091039438542
ENSG00000006695,untrt,ENSG00000006695,COX10,NA,protein_coding,13972813,14111994,17,1,NA,COX10,,TRUE,0.22045712566260178,3.130220301604523,3.8522682634579404,0.08440027778604217,0.17540895524213854
ENSG00000006704,untrt,ENSG00000006704,GTF2IRD1,NA,protein_coding,73868120,74016931,7,1,NA,GTF2IRD1,,TRUE,-0.23190472377472487,3.7259815711424458,4.388984042791107,0.06861794123765233,0.1505039708236952
ENSG00000006712,untrt,ENSG00000006712,PAF1,NA,protein_coding,39876492,39881835,19,-1,NA,PAF1,,TRUE,-0.211049961088457,5.6918609874254384,7.9373358556546165,0.022029023856051787,0.06458656736588379
ENSG00000006715,untrt,ENSG00000006715,VPS41,NA,protein_coding,38762563,38971994,7,-1,NA,VPS41,,TRUE,-0.07197750359656027,6.698253265768938,1.147794389768841,0.314512962731432,0.45546119157191073
ENSG00000006740,untrt,ENSG00000006740,ARHGAP44,NA,protein_coding,12692856,12894960,17,1,NA,ARHGAP44,,TRUE,-0.055451591900607916,0.7983466860375377,0.09683516357129682,0.7634232589720844,0.8429784942376355
ENSG00000006744,untrt,ENSG00000006744,ELAC2,NA,protein_coding,12895708,12921504,17,-1,NA,ELAC2,,TRUE,0.15586683509688615,5.437739432723712,3.8736488922357837,0.08368680562488251,0.17431285199867627
ENSG00000006756,untrt,ENSG00000006756,ARSD,NA,protein_coding,2822011,2847392,X,-1,NA,ARSD,,TRUE,-0.012636714774544651,4.367013287197519,0.017492861345379765,0.8979645401017777,0.9344604852104622
ENSG00000006757,untrt,ENSG00000006757,PNPLA4,NA,protein_coding,7866288,7895780,X,-1,NA,PNPLA4,,TRUE,0.004878950929399179,2.8174386087744523,0.0014983622663698444,0.9700480576404615,0.9817484248245594
ENSG00000006831,untrt,ENSG00000006831,ADIPOR2,NA,protein_coding,1797740,1897844,12,1,NA,ADIPOR2,,TRUE,0.23336445692660343,5.679696722154525,12.259802317326342,0.007748836886072049,0.03047817505300306
